username#discrim,current streak,max streak
Jar-Jar-OP#4135,0,0
ghoulleyguhl#0,0,0
jchanes04#0,0,0
refr1gerator.#0,0,4
dividing by zero#9054,0,16
benny_the_jett#0,0,10
elpaccamon#0,0,7
_saketh#0,0,0
evan.du#6922,0,2
nness_#0,0,0
deadbird402#0,0,0
Stevepib#6338,0,7
Deleted User 0d6e355d#1095,0,0
aarav9#0,0,0
someone_stole_my_name#0,0,0
matthewlam#0,0,0
flamingfawkes#0,0,0
Drug#6686,0,2
amaliackel#0,0,0
YitMeng#0109,0,0
eraserbird#0,0,0
owlking299#0,0,0
blu_goat#0,0,10
jelly234#0,0,6
amieball#0,0,0
_osar#0,0,1
kristen#0904,0,0
mjensen1818#1617,0,0
rohandewan#0,0,0
bench_hoe#0,0,0
sulebo#0,0,0
nkp361#0,0,1
mtlin11#0,0,29
para.dox#0,0,3
astrophilia#0,0,0
Revoosh#2742,0,0
vi.xen#0,0,1
weed is 4 cats#0236,0,0
obsequiouslemur#0,0,0
collinli#0,0,12
mnm#1558,0,0
the.dark.ninja#0,0,0
Nastics#4918,0,0
andrwndrr#0,0,2
ohorohoohwss#0,0,0
Angrymonkey19#7097,0,0
GAX#1609,0,0
wearymagpie#0,0,34
confxsion#0,0,0
ttonyxx#0,0,82
bladders#0,0,0
gelatina del césped#2038,0,20
dyedm1#0,0,10
nicholaskao#0,0,6
fakedrivethruu#0,0,1
yungchopstix#0,0,4
bruhwhoelseisnamedrasmit#0,0,18
khoifish17#0,0,17
a.chandler#0,0,7
varunky#0,0,0
playbird#0,0,0
doctorschrocken#0,0,4
.thatsgneiss#0,0,0
camponotus.#0,0,0
kittoria#3983,0,0
linky1024#0,0,0
uvuvue#0,0,0
ohman1#0,0,0
papa__p#0,0,27
runcey#0,0,0
kuro12#0,0,0
N…P…#9157,0,0
rbcz9900#0,0,0
ironmilkies#0,0,1
yaoza#0,0,0
Tejas#7311,0,3
multiples#0,0,1
cwispibean#0,0,10
touwfoo#0,0,0
abhi1382#0,0,9
sage5493#0,0,0
musunuru#0,0,25
idakim#6203,0,4
efuu#0,0,0
jimjankowski#0,0,0
Iloram#2252,0,0
oshafamily#0,0,8
davege123#1216,0,5
zheng_he#0,0,0
anjalmjain#1915,0,8
twistya#0,0,0
idonthaveone2#0,0,17
Bessie the Cow#1609,0,0
awu917#0,0,0
n.e.o.n._#0,0,0
av12#0,0,3
kenipi#0,0,8
_cells#0,0,0
chrisge#0,0,1
marfffff#0,0,0
p1eboi#0,0,0
micr0vvave#0,0,0
bobtheblob2606#0,0,0
dividingbyzero#0,0,23
pranayr#0,0,0
elizabeth#6934,0,0
kzprime#0,0,0
fruitteafoodie#0,0,4
KP#9633,0,0
tellurium._.#0,0,2
viatic02#0,0,0
cheesepoofs#0,0,6
person_v1.32#0,0,0
lyncx#0,0,0
beanie8#0,0,14
nooobb#0,0,2
dawnvoid#0,0,3
teddybear0029#0,0,1
colinthdth#0,0,0
zoinks0#0,0,13
postyeet#0,0,1
clashingcougar#0,0,0
justina1#0,0,0
kyedesu#0,0,0
ahnoah#3386,0,0
boffskbob#0,0,3
sixnippleman#0,0,0
hummusaddict#0,0,0
Deleted User 971b4283#8148,0,2
jefriedrice#0,0,11
fleace#0,0,10
aayush#0026,0,0
yeeric#0,0,2
7hvnder#0,0,10
404ic#0,0,2
gucky.#0,0,4
veridisquo.#0,0,6
blufius#0,0,0
kh.aotic#0,0,14
ButteryKirby#6906,0,0
pravitia#0,0,0
__monitor__#0,0,1
tiantin#0,0,69
klebb#0,0,0
.niess#0,0,0
pyguyofdoom#0,0,12
squeaky.#0,0,0
